trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.661,1.664,1.664,1.656,2026-07-01 00:28:59 UTC,2026-07-01 00:30:42 UTC,102.1,0.3322,0.0044,0.0,0.0006,0.06,13.55,MIN_PROFIT_TP_HIT,0.0706
2,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.664,1.669,1.661,1.669,2026-07-01 00:36:59 UTC,2026-07-01 00:52:44 UTC,944.24,0.3328,0.0044,0.0,-0.001,-0.09,-22.54,STOP_LOSS_HIT,0.0696
3,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.669,1.666,1.666,1.674,2026-07-01 00:55:59 UTC,2026-07-01 00:56:42 UTC,42.69,0.3338,0.0045,0.0,0.0006,0.06,13.48,MIN_PROFIT_TP_HIT,0.0702
4,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.667,1.662,1.67,1.662,2026-07-01 01:01:59 UTC,2026-07-01 01:05:16 UTC,196.52,0.3334,0.0044,0.0,-0.001,-0.09,-22.5,STOP_LOSS_HIT,0.0692
5,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.661,1.656,1.664,1.656,2026-07-01 01:09:59 UTC,2026-07-01 01:11:30 UTC,90.49,0.3322,0.0044,0.0,-0.001,-0.09,-22.58,STOP_LOSS_HIT,0.0682
6,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.645,1.648,1.648,1.64,2026-07-01 01:14:59 UTC,2026-07-01 01:15:04 UTC,4.55,0.329,0.0044,0.0,0.0006,0.06,13.68,MIN_PROFIT_TP_HIT,0.0688
7,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.658,1.655,1.655,1.663,2026-07-01 01:22:59 UTC,2026-07-01 01:24:25 UTC,85.15,0.3316,0.0044,0.0,0.0006,0.06,13.57,MIN_PROFIT_TP_HIT,0.0694
8,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.658,1.663,1.655,1.663,2026-07-01 01:34:59 UTC,2026-07-01 01:36:14 UTC,74.3,0.3316,0.0044,0.0,-0.001,-0.09,-22.62,STOP_LOSS_HIT,0.0684
9,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.676,1.673,1.673,1.681,2026-07-01 01:47:59 UTC,2026-07-01 01:50:12 UTC,132.67,0.3352,0.0045,0.0,0.0006,0.06,13.42,MIN_PROFIT_TP_HIT,0.069
10,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.676,1.679,1.679,1.671,2026-07-01 01:52:59 UTC,2026-07-01 01:53:55 UTC,55.0,0.3352,0.0045,0.0,0.0006,0.06,13.42,MIN_PROFIT_TP_HIT,0.0696
11,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.678,1.683,1.675,1.683,2026-07-01 01:58:59 UTC,2026-07-01 02:02:36 UTC,216.44,0.3356,0.0045,0.0,-0.001,-0.09,-22.35,STOP_LOSS_HIT,0.0686
12,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.685,1.68,1.688,1.68,2026-07-01 02:03:59 UTC,2026-07-01 02:05:51 UTC,111.47,0.337,0.0045,0.0,-0.001,-0.09,-22.26,STOP_LOSS_HIT,0.0676
13,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.684,1.687,1.687,1.679,2026-07-01 02:08:59 UTC,2026-07-01 02:10:04 UTC,64.24,0.3368,0.0045,0.0,0.0006,0.06,13.36,MIN_PROFIT_TP_HIT,0.0682
14,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.702,1.707,1.699,1.707,2026-07-01 02:17:59 UTC,2026-07-01 02:22:04 UTC,244.74,0.3404,0.0045,0.0,-0.001,-0.09,-22.03,STOP_LOSS_HIT,0.0672
15,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.705,1.708,1.708,1.7,2026-07-01 02:29:59 UTC,2026-07-01 02:31:14 UTC,74.82,0.341,0.0045,0.0,0.0006,0.06,13.2,MIN_PROFIT_TP_HIT,0.0678
16,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.704,1.707,1.707,1.699,2026-07-01 02:34:59 UTC,2026-07-01 02:35:29 UTC,29.39,0.3408,0.0045,0.0,0.0006,0.06,13.2,MIN_PROFIT_TP_HIT,0.0684
17,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.697,1.7,1.7,1.692,2026-07-01 02:40:59 UTC,2026-07-01 02:44:05 UTC,185.72,0.3394,0.0045,0.0,0.0006,0.06,13.26,MIN_PROFIT_TP_HIT,0.069
18,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.704,1.709,1.701,1.709,2026-07-01 03:00:59 UTC,2026-07-01 03:01:34 UTC,34.16,0.3408,0.0045,0.0,-0.001,-0.09,-22.01,STOP_LOSS_HIT,0.068
19,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.707,1.712,1.704,1.712,2026-07-01 03:04:59 UTC,2026-07-01 03:05:07 UTC,7.41,0.3414,0.0046,0.0,-0.001,-0.09,-21.97,STOP_LOSS_HIT,0.067
20,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.729,1.726,1.726,1.734,2026-07-01 03:09:59 UTC,2026-07-01 03:10:08 UTC,8.77,0.3458,0.0046,0.0,0.0006,0.06,13.01,MIN_PROFIT_TP_HIT,0.0676
21,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.711,1.706,1.714,1.706,2026-07-01 03:15:59 UTC,2026-07-01 03:16:12 UTC,12.09,0.3422,0.0046,0.0,-0.001,-0.09,-21.92,STOP_LOSS_HIT,0.0666
22,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.704,1.699,1.707,1.699,2026-07-01 03:19:59 UTC,2026-07-01 03:23:46 UTC,226.53,0.3408,0.0045,0.0,-0.001,-0.09,-22.01,STOP_LOSS_HIT,0.0656
23,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.699,1.702,1.702,1.694,2026-07-01 03:27:59 UTC,2026-07-01 03:29:10 UTC,70.59,0.3398,0.0045,0.0,0.0006,0.06,13.24,MIN_PROFIT_TP_HIT,0.0662
24,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.699,1.704,1.696,1.704,2026-07-01 03:32:59 UTC,2026-07-01 03:36:50 UTC,230.83,0.3398,0.0045,0.0,-0.001,-0.09,-22.07,STOP_LOSS_HIT,0.0652
25,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.706,1.711,1.703,1.711,2026-07-01 03:41:59 UTC,2026-07-01 03:47:01 UTC,301.92,0.3412,0.0045,0.0,-0.001,-0.09,-21.98,STOP_LOSS_HIT,0.0642
26,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.711,1.714,1.714,1.706,2026-07-01 03:51:59 UTC,2026-07-01 03:52:16 UTC,16.25,0.3422,0.0046,0.0,0.0006,0.06,13.15,MIN_PROFIT_TP_HIT,0.0648
27,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.712,1.709,1.709,1.717,2026-07-01 03:56:59 UTC,2026-07-01 03:57:03 UTC,3.62,0.3424,0.0046,0.0,0.0006,0.06,13.14,MIN_PROFIT_TP_HIT,0.0654
28,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.705,1.708,1.708,1.7,2026-07-01 04:02:59 UTC,2026-07-01 04:05:04 UTC,124.49,0.341,0.0045,0.0,0.0006,0.06,13.2,MIN_PROFIT_TP_HIT,0.066
29,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.7,1.703,1.703,1.695,2026-07-01 04:11:59 UTC,2026-07-01 04:16:10 UTC,250.58,0.34,0.0045,0.0,0.0006,0.06,13.24,MIN_PROFIT_TP_HIT,0.0666
30,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.704,1.709,1.701,1.709,2026-07-01 04:21:59 UTC,2026-07-01 04:31:23 UTC,563.34,0.3408,0.0045,0.0,-0.001,-0.09,-22.01,STOP_LOSS_HIT,0.0656
31,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.7,1.703,1.703,1.695,2026-07-01 04:38:59 UTC,2026-07-01 04:41:16 UTC,136.15,0.34,0.0045,0.0,0.0006,0.06,13.24,MIN_PROFIT_TP_HIT,0.0662
32,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.704,1.701,1.701,1.709,2026-07-01 04:59:59 UTC,2026-07-01 05:01:38 UTC,98.81,0.3408,0.0045,0.0,0.0006,0.06,13.2,MIN_PROFIT_TP_HIT,0.0668
33,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.705,1.7,1.708,1.7,2026-07-01 05:06:59 UTC,2026-07-01 05:21:43 UTC,883.63,0.341,0.0045,0.0,-0.001,-0.09,-21.99,STOP_LOSS_HIT,0.0658
34,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.701,1.696,1.704,1.696,2026-07-01 05:24:59 UTC,2026-07-01 05:26:59 UTC,119.19,0.3402,0.0045,0.0,-0.001,-0.09,-22.05,STOP_LOSS_HIT,0.0648
35,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.706,1.701,1.709,1.701,2026-07-01 05:28:59 UTC,2026-07-01 05:31:55 UTC,175.84,0.3412,0.0045,0.0,-0.001,-0.09,-21.98,STOP_LOSS_HIT,0.0638
36,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.702,1.707,1.699,1.707,2026-07-01 05:32:59 UTC,2026-07-01 05:48:18 UTC,918.7,0.3404,0.0045,0.0,-0.001,-0.09,-22.03,STOP_LOSS_HIT,0.0628
37,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.712,1.717,1.709,1.717,2026-07-01 05:52:59 UTC,2026-07-01 05:59:41 UTC,401.12,0.3424,0.0046,0.0,-0.001,-0.09,-21.9,STOP_LOSS_HIT,0.0618
38,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.709,1.704,1.712,1.704,2026-07-01 06:06:59 UTC,2026-07-01 06:09:27 UTC,147.43,0.3418,0.0046,0.0,-0.001,-0.09,-21.94,STOP_LOSS_HIT,0.0608
39,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.71,1.707,1.707,1.715,2026-07-01 06:16:59 UTC,2026-07-01 06:17:35 UTC,35.87,0.342,0.0046,0.0,0.0006,0.06,13.16,MIN_PROFIT_TP_HIT,0.0614
40,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.704,1.699,1.707,1.699,2026-07-01 06:23:59 UTC,2026-07-01 06:30:43 UTC,403.06,0.3408,0.0045,0.0,-0.001,-0.09,-22.01,STOP_LOSS_HIT,0.0604
41,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.689,1.692,1.692,1.684,2026-07-01 06:50:59 UTC,2026-07-01 06:51:55 UTC,55.71,0.3378,0.0045,0.0,0.0006,0.06,13.32,MIN_PROFIT_TP_HIT,0.061
42,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.691,1.688,1.688,1.696,2026-07-01 06:55:59 UTC,2026-07-01 07:03:00 UTC,420.64,0.3382,0.0045,0.0,0.0006,0.06,13.31,MIN_PROFIT_TP_HIT,0.0616
43,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.689,1.692,1.692,1.684,2026-07-01 07:10:59 UTC,2026-07-01 07:12:39 UTC,99.23,0.3378,0.0045,0.0,0.0006,0.06,13.32,MIN_PROFIT_TP_HIT,0.0622
44,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.69,1.687,1.687,1.695,2026-07-01 07:14:59 UTC,2026-07-01 07:16:11 UTC,71.35,0.338,0.0045,0.0,0.0006,0.06,13.31,MIN_PROFIT_TP_HIT,0.0628
45,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.698,1.695,1.695,1.703,2026-07-01 07:26:59 UTC,2026-07-01 07:29:17 UTC,137.44,0.3396,0.0045,0.0,0.0006,0.06,13.25,MIN_PROFIT_TP_HIT,0.0634
46,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.695,1.698,1.698,1.69,2026-07-01 07:33:59 UTC,2026-07-01 07:34:06 UTC,6.54,0.339,0.0045,0.0,0.0006,0.06,13.27,MIN_PROFIT_TP_HIT,0.064
47,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.695,1.698,1.698,1.69,2026-07-01 07:42:59 UTC,2026-07-01 07:50:06 UTC,426.9,0.339,0.0045,0.0,0.0006,0.06,13.27,MIN_PROFIT_TP_HIT,0.0646
48,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.698,1.695,1.695,1.703,2026-07-01 07:52:59 UTC,2026-07-01 08:00:00 UTC,420.55,0.3396,0.0045,0.0,0.0006,0.06,13.25,MIN_PROFIT_TP_HIT,0.0652
49,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.693,1.696,1.696,1.688,2026-07-01 08:03:59 UTC,2026-07-01 08:07:17 UTC,197.44,0.3386,0.0045,0.0,0.0006,0.06,13.29,MIN_PROFIT_TP_HIT,0.0658
50,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.698,1.695,1.695,1.703,2026-07-01 08:12:59 UTC,2026-07-01 08:16:14 UTC,194.35,0.3396,0.0045,0.0,0.0006,0.06,13.25,MIN_PROFIT_TP_HIT,0.0664
51,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.695,1.69,1.698,1.69,2026-07-01 08:20:59 UTC,2026-07-01 08:24:29 UTC,209.14,0.339,0.0045,0.0,-0.001,-0.09,-22.12,STOP_LOSS_HIT,0.0654
52,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.692,1.687,1.695,1.687,2026-07-01 08:27:59 UTC,2026-07-01 08:33:00 UTC,300.83,0.3384,0.0045,0.0,-0.001,-0.09,-22.16,STOP_LOSS_HIT,0.0644
53,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.69,1.693,1.693,1.685,2026-07-01 08:35:59 UTC,2026-07-01 08:43:32 UTC,452.79,0.338,0.0045,0.0,0.0006,0.06,13.31,MIN_PROFIT_TP_HIT,0.065
54,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.693,1.69,1.69,1.698,2026-07-01 08:45:59 UTC,2026-07-01 08:46:34 UTC,34.13,0.3386,0.0045,0.0,0.0006,0.06,13.29,MIN_PROFIT_TP_HIT,0.0656
55,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.689,1.692,1.692,1.684,2026-07-01 08:52:59 UTC,2026-07-01 08:55:28 UTC,148.79,0.3378,0.0045,0.0,0.0006,0.06,13.32,MIN_PROFIT_TP_HIT,0.0662
56,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.698,1.695,1.695,1.703,2026-07-01 09:00:59 UTC,2026-07-01 09:03:22 UTC,142.07,0.3396,0.0045,0.0,0.0006,0.06,13.25,MIN_PROFIT_TP_HIT,0.0668
57,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.7,1.703,1.703,1.695,2026-07-01 09:07:59 UTC,2026-07-01 09:09:40 UTC,100.19,0.34,0.0045,0.0,0.0006,0.06,13.24,MIN_PROFIT_TP_HIT,0.0674
58,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.71,1.707,1.707,1.715,2026-07-01 09:20:59 UTC,2026-07-01 09:25:00 UTC,240.39,0.342,0.0046,0.0,0.0006,0.06,13.16,MIN_PROFIT_TP_HIT,0.068
